season,date,regular,playoffs,away,home,score_away,score_home,q1_away,q2_away,q3_away,q4_away,ot_away,q1_home,q2_home,q3_home,q4_home,ot_home,whos_favored,spread,total,moneyline_away,moneyline_home,h2_spread,h2_total,id_spread,id_total
2008,2007-10-30,True,False,por,sa,97,106,26,23,28,20,0,29,30,22,25,0,home,13,189.5,900,-1400,5,95,0,1
2008,2007-10-30,True,False,utah,gs,117,96,28,34,24,31,0,30,21,21,24,0,home,1,212,100,-120,3,105.5,0,1
2008,2007-10-30,True,False,hou,lal,95,93,16,27,27,25,0,25,18,19,31,0,away,5,199,-230,190,3,99,0,0
2008,2007-10-31,True,False,phi,tor,97,106,22,28,17,30,0,24,34,23,25,0,home,6.5,191,255,-305,2,96.5,1,1
2008,2007-10-31,True,False,wsh,ind,110,119,23,22,25,33,7,28,20,22,33,16,away,1.5,203.5,-125,105,1,105,0,1
2008,2007-10-31,True,False,mil,orl,83,102,24,22,16,21,0,24,24,35,19,0,home,6.5,197,245,-295,3.5,97,1,0
2008,2007-10-31,True,False,chi,bkn,103,112,21,20,32,23,7,25,31,18,22,16,home,1.5,186,105,-125,3,94,1,1
2008,2007-10-31,True,False,dal,cle,92,74,29,25,24,14,0,15,19,25,15,0,away,2.5,184,-140,120,4,91.5,1,0
2008,2007-10-31,True,False,sa,mem,104,101,23,29,27,25,0,26,26,30,19,0,away,6.5,201,-250,210,4,99.5,0,1
2008,2007-10-31,True,False,sac,no,90,104,24,18,19,29,0,29,28,30,17,0,home,9.5,190.5,425,-525,1.5,94,1,1
2008,2007-10-31,True,False,okc,den,103,120,31,27,23,22,0,35,24,27,34,0,home,11.5,217.5,625,-825,6.5,107.5,1,1
2008,2007-11-01,True,False,det,mia,91,80,26,22,18,25,0,22,20,20,18,0,away,4,178.5,-190,160,0,89.5,1,0
2008,2007-11-01,True,False,hou,utah,106,95,24,33,21,28,0,29,20,17,29,0,home,3,193,140,-160,3.5,98.5,0,1
2008,2007-11-01,True,False,phx,okc,106,99,27,28,24,27,0,26,32,24,17,0,away,12,224.5,-725,575,9,112.5,0,0
2008,2007-11-02,True,False,mil,cha,99,102,18,31,20,30,0,24,22,25,31,0,home,4,196.5,150,-170,4,96.5,0,1
2008,2007-11-02,True,False,det,orl,116,92,28,36,27,25,0,30,25,23,14,0,home,4,183.5,150,-170,4.5,93.5,0,1
2008,2007-11-02,True,False,mia,ind,85,87,22,25,18,20,0,24,24,20,19,0,home,6.5,192,235,-275,4,96.5,0,0
2008,2007-11-02,True,False,tor,bkn,106,69,21,35,24,26,0,21,20,12,16,0,home,4,193.5,155,-175,6,96,0,0
2008,2007-11-02,True,False,dal,atl,94,101,19,20,30,25,0,29,17,22,33,0,away,5.5,191,-250,210,5,94.5,0,1
2008,2007-11-02,True,False,ny,cle,106,110,34,20,26,26,0,32,23,20,35,0,home,6,186,210,-250,4,94,0,1
2008,2007-11-02,True,False,wsh,bos,83,103,18,18,21,26,0,21,37,21,24,0,home,7.5,205.5,285,-335,2.5,105,1,0
2008,2007-11-02,True,False,por,no,93,113,21,28,15,29,0,31,26,30,26,0,home,7.5,203,275,-325,2,102.5,1,1
2008,2007-11-02,True,False,den,min,99,91,21,28,25,25,0,27,25,25,14,0,away,7.5,208.5,-375,315,6.5,104,1,0
2008,2007-11-02,True,False,phi,chi,96,85,28,14,29,25,0,20,21,20,24,0,home,9.5,190,400,-500,7,94,0,0
2008,2007-11-02,True,False,sac,sa,80,96,10,13,31,26,0,17,33,21,25,0,home,14.5,191,1200,-2000,2,92.5,1,0
2008,2007-11-02,True,False,lal,phx,119,98,33,30,32,24,0,20,30,17,31,0,home,8,215.5,365,-435,9,107.5,0,1
2008,2007-11-02,True,False,gs,lac,114,120,27,34,29,24,0,35,26,31,28,0,home,1.5,211,105,-125,1.5,104.5,1,1
2008,2007-11-03,True,False,bkn,phi,93,88,17,21,29,26,0,19,15,23,31,0,away,3,186.5,-150,130,1.5,94.5,1,0
2008,2007-11-03,True,False,orl,wsh,94,82,19,31,14,30,0,18,24,25,15,0,home,1,197.5,110,-130,2.5,100.5,0,0
2008,2007-11-03,True,False,ind,mem,121,111,40,32,22,27,0,31,30,26,24,0,home,5.5,211.5,180,-220,5.5,107,0,1
2008,2007-11-03,True,False,chi,mil,72,78,19,16,13,24,0,20,12,24,22,0,away,4,193,-175,155,1.5,95,0,0
2008,2007-11-03,True,False,por,hou,80,89,12,19,15,34,0,25,21,16,27,0,home,11.5,203,700,-1000,0,100.5,0,0
2008,2007-11-03,True,False,sac,dal,102,123,25,31,27,19,0,37,36,28,22,0,home,15.5,189,1500,-3000,0,93,1,1
