season,date,regular,playoffs,away,home,score_away,score_home,q1_away,q2_away,q3_away,q4_away,ot_away,q1_home,q2_home,q3_home,q4_home,ot_home,whos_favored,spread,total,moneyline_away,moneyline_home,h2_spread,h2_total,id_spread,id_total,whos_favored_encoded
2008,2007-10-30,1,0,por,sa,97,106,26,23,28,20,0,29,30,22,25,0,home,13.0,189.5,900.0,-1400.0,5.0,95.0,0.0,1.0,1
2008,2007-10-30,1,0,utah,gs,117,96,28,34,24,31,0,30,21,21,24,0,home,1.0,212.0,100.0,-120.0,3.0,105.5,0.0,1.0,1
2008,2007-10-30,1,0,hou,lal,95,93,16,27,27,25,0,25,18,19,31,0,away,5.0,199.0,-230.0,190.0,3.0,99.0,0.0,0.0,0
2008,2007-10-31,1,0,phi,tor,97,106,22,28,17,30,0,24,34,23,25,0,home,6.5,191.0,255.0,-305.0,2.0,96.5,1.0,1.0,1
2008,2007-10-31,1,0,wsh,ind,110,119,23,22,25,33,7,28,20,22,33,16,away,1.5,203.5,-125.0,105.0,1.0,105.0,0.0,1.0,0
2008,2007-10-31,1,0,mil,orl,83,102,24,22,16,21,0,24,24,35,19,0,home,6.5,197.0,245.0,-295.0,3.5,97.0,1.0,0.0,1
2008,2007-10-31,1,0,chi,bkn,103,112,21,20,32,23,7,25,31,18,22,16,home,1.5,186.0,105.0,-125.0,3.0,94.0,1.0,1.0,1
2008,2007-10-31,1,0,dal,cle,92,74,29,25,24,14,0,15,19,25,15,0,away,2.5,184.0,-140.0,120.0,4.0,91.5,1.0,0.0,0
2008,2007-10-31,1,0,sa,mem,104,101,23,29,27,25,0,26,26,30,19,0,away,6.5,201.0,-250.0,210.0,4.0,99.5,0.0,1.0,0
2008,2007-10-31,1,0,sac,no,90,104,24,18,19,29,0,29,28,30,17,0,home,9.5,190.5,425.0,-525.0,1.5,94.0,1.0,1.0,1
2008,2007-10-31,1,0,okc,den,103,120,31,27,23,22,0,35,24,27,34,0,home,11.5,217.5,625.0,-825.0,6.5,107.5,1.0,1.0,1
2008,2007-11-01,1,0,det,mia,91,80,26,22,18,25,0,22,20,20,18,0,away,4.0,178.5,-190.0,160.0,0.0,89.5,1.0,0.0,0
2008,2007-11-01,1,0,hou,utah,106,95,24,33,21,28,0,29,20,17,29,0,home,3.0,193.0,140.0,-160.0,3.5,98.5,0.0,1.0,1
2008,2007-11-01,1,0,phx,okc,106,99,27,28,24,27,0,26,32,24,17,0,away,12.0,224.5,-725.0,575.0,9.0,112.5,0.0,0.0,0
2008,2007-11-02,1,0,mil,cha,99,102,18,31,20,30,0,24,22,25,31,0,home,4.0,196.5,150.0,-170.0,4.0,96.5,0.0,1.0,1
2008,2007-11-02,1,0,det,orl,116,92,28,36,27,25,0,30,25,23,14,0,home,4.0,183.5,150.0,-170.0,4.5,93.5,0.0,1.0,1
2008,2007-11-02,1,0,mia,ind,85,87,22,25,18,20,0,24,24,20,19,0,home,6.5,192.0,235.0,-275.0,4.0,96.5,0.0,0.0,1
2008,2007-11-02,1,0,tor,bkn,106,69,21,35,24,26,0,21,20,12,16,0,home,4.0,193.5,155.0,-175.0,6.0,96.0,0.0,0.0,1
2008,2007-11-02,1,0,dal,atl,94,101,19,20,30,25,0,29,17,22,33,0,away,5.5,191.0,-250.0,210.0,5.0,94.5,0.0,1.0,0
2008,2007-11-02,1,0,ny,cle,106,110,34,20,26,26,0,32,23,20,35,0,home,6.0,186.0,210.0,-250.0,4.0,94.0,0.0,1.0,1
2008,2007-11-02,1,0,wsh,bos,83,103,18,18,21,26,0,21,37,21,24,0,home,7.5,205.5,285.0,-335.0,2.5,105.0,1.0,0.0,1
2008,2007-11-02,1,0,por,no,93,113,21,28,15,29,0,31,26,30,26,0,home,7.5,203.0,275.0,-325.0,2.0,102.5,1.0,1.0,1
2008,2007-11-02,1,0,den,min,99,91,21,28,25,25,0,27,25,25,14,0,away,7.5,208.5,-375.0,315.0,6.5,104.0,1.0,0.0,0
2008,2007-11-02,1,0,phi,chi,96,85,28,14,29,25,0,20,21,20,24,0,home,9.5,190.0,400.0,-500.0,7.0,94.0,0.0,0.0,1
2008,2007-11-02,1,0,sac,sa,80,96,10,13,31,26,0,17,33,21,25,0,home,14.5,191.0,1200.0,-2000.0,2.0,92.5,1.0,0.0,1
2008,2007-11-02,1,0,lal,phx,119,98,33,30,32,24,0,20,30,17,31,0,home,8.0,215.5,365.0,-435.0,9.0,107.5,0.0,1.0,1
2008,2007-11-02,1,0,gs,lac,114,120,27,34,29,24,0,35,26,31,28,0,home,1.5,211.0,105.0,-125.0,1.5,104.5,1.0,1.0,1
2008,2007-11-03,1,0,bkn,phi,93,88,17,21,29,26,0,19,15,23,31,0,away,3.0,186.5,-150.0,130.0,1.5,94.5,1.0,0.0,0
2008,2007-11-03,1,0,orl,wsh,94,82,19,31,14,30,0,18,24,25,15,0,home,1.0,197.5,110.0,-130.0,2.5,100.5,0.0,0.0,1
2008,2007-11-03,1,0,ind,mem,121,111,40,32,22,27,0,31,30,26,24,0,home,5.5,211.5,180.0,-220.0,5.5,107.0,0.0,1.0,1
2008,2007-11-03,1,0,chi,mil,72,78,19,16,13,24,0,20,12,24,22,0,away,4.0,193.0,-175.0,155.0,1.5,95.0,0.0,0.0,0
2008,2007-11-03,1,0,por,hou,80,89,12,19,15,34,0,25,21,16,27,0,home,11.5,203.0,700.0,-1000.0,0.0,100.5,0.0,0.0,1
2008,2007-11-03,1,0,sac,dal,102,123,25,31,27,19,0,37,36,28,22,0,home,15.5,189.0,1500.0,-3000.0,0.0,93.0,1.0,1.0,1
2008,2007-11-03,1,0,gs,utah,110,133,28,18,35,29,0,29,36,29,39,0,home,9.5,215.5,425.0,-550.0,0.0,105.5,1.0,1.0,1
2008,2007-11-04,1,0,bos,tor,98,95,23,15,28,12,20,14,17,24,23,17,home,1.5,194.0,105.0,-125.0,2.5,95.5,0.0,0.0,1
2008,2007-11-04,1,0,okc,lac,101,115,21,31,24,25,0,25,27,26,37,0,home,6.5,208.0,250.0,-300.0,4.5,101.5,1.0,1.0,1
2008,2007-11-04,1,0,min,ny,93,97,28,22,23,20,0,21,33,21,22,0,home,9.0,193.0,355.0,-425.0,4.0,96.5,0.0,0.0,1
2008,2007-11-04,1,0,cha,mia,90,88,27,28,20,15,0,27,21,15,25,0,home,3.5,186.5,140.0,-160.0,3.5,93.5,0.0,0.0,1
2008,2007-11-04,1,0,atl,det,91,92,19,29,21,22,0,24,21,15,32,0,home,8.0,191.0,290.0,-350.0,6.5,97.0,0.0,0.0,1
2008,2007-11-04,1,0,no,den,93,88,14,34,25,20,0,21,28,20,19,0,home,5.0,214.5,185.0,-215.0,3.0,104.5,0.0,0.0,1
2008,2007-11-04,1,0,cle,phx,92,103,22,23,19,28,0,21,17,31,34,0,home,7.5,205.0,290.0,-350.0,5.5,99.5,1.0,0.0,1
2008,2007-11-04,1,0,utah,lal,109,119,21,30,31,27,0,25,21,35,38,0,home,1.0,205.5,-105.0,-115.0,2.0,106.0,1.0,1.0,1
2008,2007-11-05,1,0,hou,dal,98,107,29,22,24,23,0,24,26,27,30,0,home,4.5,189.5,170.0,-200.0,3.0,95.5,1.0,1.0,1
2008,2007-11-06,1,0,phx,cha,115,83,29,30,29,27,0,21,16,24,22,0,away,4.0,207.0,-195.0,165.0,3.5,101.0,1.0,0.0,0
2008,2007-11-06,1,0,atl,bkn,82,87,19,22,16,25,0,22,23,24,18,0,home,4.0,188.5,160.0,-190.0,1.0,95.0,1.0,0.0,1
2008,2007-11-06,1,0,den,ny,112,119,37,29,26,20,0,32,28,22,37,0,away,3.0,211.0,-160.0,140.0,0.0,105.0,0.0,1.0,0
2008,2007-11-06,1,0,orl,min,111,103,26,30,32,23,0,22,28,24,29,0,away,6.5,186.5,-300.0,250.0,2.0,93.5,1.0,1.0,0
2008,2007-11-06,1,0,tor,mil,85,112,23,25,16,21,0,37,26,25,24,0,away,3.0,190.0,-160.0,140.0,5.0,95.0,0.0,1.0,0
2008,2007-11-06,1,0,sa,hou,81,89,19,13,24,25,0,18,27,19,25,0,away,2.0,183.5,-135.0,115.0,4.0,91.5,0.0,0.0,0
2008,2007-11-06,1,0,lac,chi,97,91,26,31,18,22,0,26,26,22,17,0,home,8.5,193.0,335.0,-405.0,8.0,97.5,0.0,0.0,1
2008,2007-11-06,1,0,okc,sac,98,104,25,36,17,20,0,26,22,24,32,0,home,2.0,208.0,110.0,-130.0,4.5,101.5,1.0,0.0,1
2008,2007-11-06,1,0,cle,gs,108,104,29,25,26,28,0,23,31,27,23,0,home,2.0,209.5,115.0,-135.0,1.5,105.0,0.0,1.0,1
2008,2007-11-06,1,0,no,lal,118,104,32,25,32,29,0,22,33,25,24,0,home,3.0,205.5,135.0,-155.0,3.0,104.0,0.0,1.0,1
2008,2007-11-07,1,0,orl,tor,105,96,31,21,26,27,0,23,24,27,22,0,home,4.0,191.5,170.0,-200.0,3.5,95.5,0.0,1.0,1
2008,2007-11-07,1,0,phx,atl,96,105,27,20,29,20,0,32,23,25,25,0,away,5.0,207.0,-230.0,190.0,5.0,103.5,0.0,0.0,0
